event   element | name     | type     | charge       | pT           | Eta          | Phi          | E            | mass
     102       1|        e-|        11|             1|       907.951|      0.143127|      -2.94971|       917.267|      0.192993
     102       2|        e-|        11|            -1|       590.266|    -0.0168724|     -0.346924|        590.35|     -0.109802
     102       3|       mu-|        13|             1|       717.967|      0.838379|      -1.43115|        985.42|      0.105713
     103       1|        e-|        11|            -1|       901.011|        0.1763|        2.9043|        915.05|     0.0709839
     103       2|       mu-|        13|             1|       553.911|      0.512573|      -1.12744|       628.283|      0.105713
     104       1|        e-|        11|            -1|       2046.96|     -0.209869|      -2.89941|       2092.21|      0.599121
     104       2|        e-|        11|             1|       1764.07|     -0.226379|      0.203857|       1809.47|     -0.495361
     104       3|        e-|        11|            -1|       450.979|      -1.25757|       2.63721|       857.132|      0.219238
     105       1|        e-|        11|             1|        1327.8|      0.766968|       3.00293|       1737.85|     -0.299072
     105       2|        e-|        11|            -1|       988.647|    -0.0968933|     -0.632202|       993.292|      0.300781
     105       3|        e-|        11|            -1|       159.601|      0.061142|      0.829346|       159.899|     -0.061615
     105       4|       mu-|        13|             1|       419.534|    -0.0915985|      -1.70093|       421.296|      0.105713
     106       1|        e-|        11|            -1|       362.454|     0.0834656|      -2.08789|       363.717|     0.0723267
     106       2|       mu-|        13|            -1|        947.63|       0.43811|      0.402466|       1040.04|      0.105713
     106       3|       mu-|        13|             1|       131.289|       1.33154|      -2.97754|       265.922|      0.105713
     106       4|       mu-|        13|             1|       37.6091|      -1.12036|      -3.13379|       63.7874|      0.105713
     107       1|        e-|        11|            -1|       794.121|      0.817993|      -2.47852|       1074.95|     -0.098999
     107       2|        e-|        11|            -1|        605.64|     -0.726318|       1.72388|       772.537|      0.179688
     107       3|        e-|        11|            -1|       516.447|      0.576294|      0.834106|       604.606|     -0.122742
     107       4|        e-|        11|             1|       31.9001|      -2.01221|     -0.515259|       121.436|     0.0187225
     107       5|       mu-|        13|             1|       404.619|       1.06543|     -0.390198|       656.831|      0.105713
     108       1|        e-|        11|            -1|       533.579|      0.488708|       2.53027|       598.577|     -0.123596
     108       2|       mu-|        13|             1|       794.831|     -0.856445|     -0.162048|       1104.59|      0.105713
     108       3|       mu-|        13|            -1|         287.9|      -1.89038|      0.817871|        974.96|      0.105713
     109       1|        e-|        11|            -1|       752.933|      0.824341|      -2.48682|       1023.57|       0.11615
     109       2|       mu-|        13|             1|       675.884|       1.84375|     -0.406677|       2189.33|      0.105713
     110       1|        e-|        11|             1|       1217.73|     -0.128937|     -0.309998|       1227.87|     0.0471191
     110       2|        e-|        11|            -1|       1021.56|        1.2312|       2.54834|       1898.71|       -0.2771
     110       3|       mu-|        13|             1|       557.531|     -0.215149|      -2.18799|       570.484|      0.105713
     111       1|        e-|        11|             1|       701.497|       1.05762|      -2.29053|       1131.79|     -0.191895
     111       2|        e-|        11|            -1|       554.577|      0.205719|       2.15576|       566.353|     -0.190063
     111       3|       mu-|        13|            -1|       1027.35|      0.579224|    -0.0150394|       1204.56|      0.105713
     112       1|       mu-|        13|            -1|       1098.13|     -0.505249|      -2.43896|       1241.31|      0.105713
     112       2|       mu-|        13|             1|       688.234|      -2.17334|       1.71484|       3063.11|      0.105713
     112       3|       mu-|        13|            -1|        164.54|       1.54419|     -0.378113|        402.93|      0.105713
     113       1|        e-|        11|            -1|       933.187|      -0.59668|       2.95361|       1104.29|      0.175171
     113       2|        e-|        11|             1|       311.445|    -0.0568314|      -2.91113|       311.948|    -0.0802612
     113       3|       mu-|        13|             1|       851.503|     -0.229889|      0.297607|       874.103|      0.105713
     113       4|       mu-|        13|            -1|       626.967|      0.488403|      -1.66992|       703.243|      0.105713
     114       1|        e-|        11|             1|       260.467|       1.18481|       1.77222|         465.7|     -0.145142
     114       2|       mu-|        13|             1|       1244.48|     -0.600586|       0.94043|       1475.75|      0.105713
     114       3|       mu-|        13|            -1|       445.984|       1.05713|      -1.40601|       719.272|      0.105713
     115       1|        e-|        11|            -1|       672.038|     -0.205658|       2.16406|         686.3|     -0.121338
     115       2|        e-|        11|             1|       580.051|       1.54077|     -0.412537|       1416.02|      0.291992
     115       3|       mu-|        13|             1|       687.445|      0.430542|      -2.47705|        752.15|      0.105713
