event   element | name     | type     | charge       | pT           | Eta          | Phi          | E            | mass
     734       1|        e-|        11|            -1|       1025.26|      0.743042|      -1.39258|       1321.55|     -0.356689
     734       2|        e-|        11|            -1|       494.244|    -0.0317764|      -0.13269|       494.494|      0.129517
     734       3|       mu-|        13|            -1|       533.952|      0.469116|        1.8894|        593.79|      0.105713
     735       1|        e-|        11|            -1|       870.971|     0.0744324|       1.46753|       873.385|     -0.258545
     735       2|       mu-|        13|            -1|        522.95|      0.744995|      -2.66064|       674.911|      0.105713
     735       3|       mu-|        13|             1|       139.923|      -2.24561|       1.00757|       668.272|      0.105713
     736       1|        e-|        11|             1|       914.082|      -1.24072|      -2.75098|       1712.66|      0.364502
     736       2|        e-|        11|            -1|       554.118|      -0.25415|     -0.994629|        572.11|      0.078064
     736       3|       mu-|        13|             1|       309.584|      0.497314|      -2.25635|       348.663|      0.105713
     736       4|       mu-|        13|             1|       55.5403|      0.163879|      0.991455|       56.2879|      0.105713
     737       1|        e-|        11|             1|       1312.19|      0.588745|     -0.245911|       1546.25|      0.221436
     737       2|        e-|        11|            -1|       1167.96|      0.790161|       2.42139|       1551.93|      0.434326
     738       1|        e-|        11|             1|       412.417|       -1.1521|      -2.06592|       717.772|      0.147583
     738       2|       mu-|        13|            -1|       540.229|      -1.13965|      0.919922|       930.707|      0.105713
     739       1|        e-|        11|             1|       436.894|       1.27734|       1.14331|       844.489|     -0.283691
     739       2|       mu-|        13|            -1|       712.171|      0.673706|      -1.63843|       879.998|      0.105713
     739       3|       mu-|        13|             1|       381.009|     -0.811157|       2.58838|       513.382|      0.105713
     740       1|        e-|        11|             1|        439.11|      -1.26294|      0.330017|       838.398|     -0.272461
     740       2|       mu-|        13|            -1|       1282.17|      0.678589|       1.61328|       1588.88|      0.105713
     740       3|       mu-|        13|            -1|        515.25|      0.495667|      -2.70215|       579.851|      0.105713
     741       1|       mu-|        13|            -1|       805.118|     0.0860748|       2.27832|       808.102|      0.105713
     741       2|       mu-|        13|             1|       505.733|      -0.11705|      -2.32178|       509.201|      0.105713
     742       1|        e-|        11|             1|       753.141|     -0.645508|     -0.752075|       915.575|      0.199463
     742       2|        e-|        11|            -1|       455.603|      0.822021|      0.925293|       618.398|     -0.193481
     742       3|        e-|        11|             1|        5.8718|      -1.55029|       1.41553|       14.4594|    0.00248146
     742       4|       mu-|        13|             1|        418.81|       1.26123|      -1.19971|       798.474|      0.105713
     743       1|        e-|        11|            -1|       1260.84|      0.965088|      -2.64014|       1895.02|     -0.414551
     743       2|        e-|        11|             1|       1075.77|      0.472961|      0.454041|       1198.35|    -0.0223236
     744       1|       mu-|        13|            -1|       196.188|      0.535156|       2.83984|       224.959|      0.105713
     744       2|       mu-|        13|             1|       148.044|    -0.0603638|       2.10645|       148.314|      0.105713
     745       1|        e-|        11|             1|       1044.66|       -1.1543|       1.05054|        1821.4|     -0.544434
     745       2|        e-|        11|            -1|        846.42|      0.381836|      -3.01611|       908.877|      0.220703
     746       1|       mu-|        13|            -1|       1242.98|      -1.66455|      -1.30469|       3401.14|      0.105713
     746       2|       mu-|        13|             1|       1029.52|     -0.341248|       2.57031|       1090.04|      0.105713
     746       3|       mu-|        13|            -1|       314.938|     -0.522095|      -3.10889|       358.846|      0.105713
     747       1|        e-|        11|            -1|       1194.25|     -0.376526|      0.544434|       1279.91|     -0.164551
     747       2|       mu-|        13|             1|        1155.1|    0.00598145|      -2.77881|       1155.12|      0.105713
     747       3|       mu-|        13|            -1|        361.46|     -0.295471|      -2.92773|       377.353|      0.105713
     748       1|        e-|        11|            -1|       252.907|      -1.60864|      0.170166|       657.075|      0.127319
     748       2|       mu-|        13|             1|       1157.38|     -0.659302|      -1.53027|       1418.17|      0.105713
     748       3|       mu-|        13|             1|       325.757|      0.192596|       1.05298|       331.817|      0.105713
     749       1|       mu-|        13|            -1|       967.837|      -0.68689|    -0.0742493|       1205.28|      0.105713
     749       2|       mu-|        13|             1|       665.873|      0.578735|      -2.76904|       780.532|      0.105713
     749       3|       mu-|        13|             1|       621.796|     -0.930908|       2.16309|       911.244|      0.105713
     750       1|        e-|        11|            -1|       864.862|       1.00146|      -1.52539|       1336.04|     -0.280273
     750       2|        e-|        11|             1|       455.432|     -0.145569|       2.83838|       460.266|     -0.124451
     750       3|       mu-|        13|             1|       485.343|        1.8855|       1.26758|       1635.94|      0.105713
     751       1|       mu-|        13|             1|       1224.95|    -0.0466537|      -3.06348|       1226.28|      0.105713
     751       2|       mu-|        13|            -1|       518.737|      -2.22266|      0.595703|       2422.54|      0.105713
     752       1|        e-|        11|            -1|       826.398|    -0.0580978|      -2.68945|       827.794|     -0.104553
     752       2|        e-|        11|            -1|       8.13921|     -0.541016|      -1.60474|       9.35971|    0.00273323
     752       3|       mu-|        13|             1|       544.452|      0.665894|      -0.13205|       669.687|      0.105713
     752       4|       mu-|        13|             1|        463.97|      -1.51831|    -0.0460739|       1109.72|      0.105713
     753       1|        e-|        11|            -1|       421.764|        1.2312|      -1.83325|       783.909|     -0.210693
     753       2|        e-|        11|            -1|       144.925|       1.20923|     -0.998291|        264.44|    -0.0412903
     753       3|       mu-|        13|            -1|       298.756|      0.100739|       1.25806|       300.273|      0.105713
     754       1|       mu-|        13|             1|       439.437|      -1.00928|      0.415527|       682.907|      0.105713
     754       2|       mu-|        13|             1|       342.605|      0.647705|      -3.02002|       417.018|      0.105713
     754       3|       mu-|        13|            -1|       295.566|      -1.77319|          2.25|       895.479|      0.105713
     755       1|        e-|        11|             1|       1385.56|      0.169037|       1.51733|        1405.4|      0.423828
     755       2|       mu-|        13|            -1|       1277.38|      0.095993|      -1.56592|       1283.27|      0.105713
     755       3|       mu-|        13|             1|       52.0401|      0.814209|     -0.712891|       70.2641|      0.105713
     756       1|       mu-|        13|             1|       938.995|       0.31897|     -0.895874|       987.169|      0.105713
     756       2|       mu-|        13|             1|       379.093|       1.19214|       1.77808|        681.93|      0.105713
     757       1|        e-|        11|             1|       875.355|     -0.728271|      -1.35645|       1117.93|     -0.131104
     757       2|       mu-|        13|             1|       419.991|      0.271606|       2.58887|       435.578|      0.105713
     757       3|       mu-|        13|            -1|        324.43|      0.637207|      -1.55786|       392.554|      0.105713
     758       1|        e-|        11|            -1|        1209.1|     -0.701538|       1.59668|       1519.03|      0.280029
     758       2|        e-|        11|             1|       869.232|     -0.397705|      -2.98389|       938.886|     -0.136841
     759       1|       mu-|        13|            -1|       1221.54|     0.0857697|       2.11426|       1226.03|      0.105713
     759       2|       mu-|        13|             1|       1133.63|      0.677612|       -1.7251|       1403.99|      0.105713
     759       3|       mu-|        13|             1|       461.153|       1.28052|      0.361206|       893.806|      0.105713
     760       1|        e-|        11|             1|       806.466|      0.895874|      0.572754|       1152.33|     -0.400879
     760       2|       mu-|        13|            -1|       926.593|      0.109787|        -2.354|       932.183|      0.105713
     760       3|       mu-|        13|             1|        478.85|      0.303772|      -2.90137|       501.114|      0.105713
     761       1|        e-|        11|            -1|       718.448|     0.0527725|      -2.73926|       719.449|      -0.16626
     761       2|       mu-|        13|             1|       722.107|     -0.830566|      -1.36694|       985.828|      0.105713
     761       3|       mu-|        13|             1|       695.026|     -0.590942|       1.02344|       819.955|      0.105713
     761       4|       mu-|        13|            -1|       437.038|       1.48511|       1.24951|       1014.35|      0.105713
     762       1|        e-|        11|             1|       876.771|     0.0919495|       2.31885|        880.48|     -0.200562
     762       2|       mu-|        13|             1|       441.111|      0.875122|     -0.525024|       621.079|      0.105713
     762       3|       mu-|        13|            -1|       366.228|     -0.930664|      -1.16479|       536.613|      0.105713
     762       4|       mu-|        13|            -1|       179.536|       2.37695|     -0.549072|       975.318|      0.105713
     763       1|        e-|        11|            -1|       1295.35|       0.21579|     0.0210648|       1325.62|     -0.233765
     763       2|        e-|        11|            -1|       326.302|      0.108932|      -2.76709|        328.24|     0.0541077
     764       1|       mu-|        13|             1|       792.462|      0.237976|     0.0348816|       815.007|      0.105713
     764       2|       mu-|        13|             1|       329.908|      -1.02466|        2.3877|       518.791|      0.105713
     765       1|       mu-|        13|             1|       842.693|     -0.890015|      -1.98096|       1199.07|      0.105713
     765       2|       mu-|        13|            -1|       809.071|     -0.146973|       1.90625|       817.825|      0.105713
     765       3|       mu-|        13|             1|       276.949|       0.58667|       1.21704|       325.992|      0.105713
     766       1|       mu-|        13|            -1|       591.186|     -0.645752|     -0.916016|       718.791|      0.105713
     766       2|       mu-|        13|             1|       542.109|        0.3573|       2.15967|       577.082|      0.105713
     766       3|       mu-|        13|            -1|       473.808|      0.823853|       1.18213|       643.906|      0.105713
     766       4|       mu-|        13|             1|       456.021|      -1.37451|      -1.76147|       959.036|      0.105713
     767       1|        e-|        11|             1|        110.87|       1.58081|        2.0459|       280.761|    -0.0519409
     767       2|       mu-|        13|            -1|       862.286|      0.205139|       1.19067|       880.493|      0.105713
     768       1|        e-|        11|            -1|       440.837|     -0.651123|      -1.48267|       537.634|    -0.0941162
     768       2|       mu-|        13|             1|       1069.83|      0.882568|     -0.854614|       1514.24|      0.105713
     769       1|        e-|        11|            -1|       934.503|      0.797607|     0.0710754|       1247.85|     -0.447998
